ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX	RATLIFF_COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	STRICTID	LOOSEID	ALIGNMENT	STRUCTURE	CROSSIDS	AUTOCOGID	MORPHEMES	SPLITID	LUMPID
3363	WesternLuobuohe-591_cooked-1	Hmongic	COOKED	cooked	熟	WesternLuobuohe	Luobuohe, Western	luop1235	s e n ⁵⁵	269	361	阴上.阳上.*阴平.*阴上.*阳上	⁵⁵	Luopohe	s e n ᴮ/²	0	1824	3 7 4 8	AXLT	SEN5	10	10.S.C 10.E.V 10.N.c 10.5.T	1.6 3.0 1.1 1.0	sen⁵⁵	0	1387	548	299	s e n ⁵⁵	i n c t	1387	555	COOKED	3363	75
3364	SouthernGuizhouChuanqiandian-591_cooked-1	Hmongic	COOKED	cooked	熟	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s æ n ²³²	269	361	阴上	²³²	CentralMashanHmong	s æi n ³ᵇ/³	0	1823	3 7 4 8	AXLT	SEN6	8	8.S.C 8.E.V 8.N.c 8.6.T	1.6 3.0 1.1 1.0	sæn²³²	0	1387	548	299	s æ n ²³²	i n c t	1387	555	COOKED	3364	75
3365	WesternXiangxi-591_cooked-1	Hmongic	COOKED	cooked	熟	WesternXiangxi	Xiangxi, West	west2430	ɕ ɛ ⁴⁴	269	361	阴上.阴入.*阴平	⁴⁴	WesternXiangxiMiao	ɕ ɛ ³	0	1821	3 7 8	AXT	SE5	11	11.S.C 11.E.V 11.5.T	1.6 3.0 1.0	ɕɛ⁴⁴	0	1391	546	302	ɕ - ɛ ⁴⁴	i n t	1391	556	COOKED	3365	75
3366	NorthernQiandong-591_cooked-1	Hmongic	COOKED	cooked	熟	NorthernQiandong	Qiandong, North	nort2747	ɕʰ a ŋ ³⁵	269	361	阴上	³⁵	NorthernQiandongMiao	ɕʰ a ŋ ³	0	1820	3 7 4 8	AXLT	SAN2	7	7.S.C 7.A.V 7.N.c 7.2.T	1.6 3.0 1.1 1.0	ɕʰaŋ³⁵	1	1387	548	299	ɕʰ a ŋ ³⁵	i n c t	1387	555	COOKED	3366	75
3367	WesternBaheng-591_cooked-1	Hmongic	COOKED	cooked	熟	WesternBaheng	Baheng, West	pahn1237	s e ŋ ³¹	269	361	阴上	³¹	PaHng	s ɪ̃ ³	0	1826	3 7 4 8	AXLT	SEN3	9	9.S.C 9.E.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0	seŋ³¹	0	1387	548	299	s e ŋ ³¹	i n c t	1387	555	COOKED	3367	75
3368	EasternBaheng-591_cooked-1	Hmongic	COOKED	cooked	熟	EasternBaheng	Baheng, East	pahn1237	ɕ e ŋ ³¹³	269	361	阴上.*阴上	³¹³	PaHng	s ɪ̃ ³	0	1826	3 7 4 8	AXLT	SEN6	2	2.S.C 2.E.V 2.N.c 2.6.T	1.6 3.0 1.1 1.0	ɕeŋ³¹³	0	1387	548	299	ɕ e ŋ ³¹³	i n c t	1387	555	COOKED	3368	75
3369	Jiongnai-591_cooked-1	Hmongic	COOKED	cooked	熟	Jiongnai	Jiongnai	jion1236	θ ə ŋ ⁵³	269	361	阴上.*阴上.*阳上	⁵³	JiongnaiBunu	θ e ŋ ³	0	1825	3 7 4 8	AXLT	DEN3	4	4.D.C 4.E.V 4.N.c 4.3.T	1.6 3.0 1.1 1.0	θəŋ⁵³	1	1387	548	299	θ ə ŋ ⁵³	i n c t	1387	555	COOKED	3369	75
3370	Mien-591_cooked-1	Mienic	COOKED	cooked	熟	Mien	Mien	iumi1238	ts o ²²	269	348	阳入	²²	luMien	tɕ w o ⁸/²⁴	0	1749	2 7 8	AXT	CU1	6	6.C.C 6.U.V 6.1.T	1.6 3.0 1.0	tso²²	0	1390	549	301	ts o ²²	i n t	1390	560	COOKED	3370	75
3371	KimMun-591_cooked-1	Mienic	COOKED	cooked	熟	KimMun	Kim Mun	kimm1245	ʃ u ⁴²	269	0	阴去.阳去.阴入.阳入	⁴²	KimMun				3 7 8	AXT	SY3	5	5.S.C 5.Y.V 5.3.T	1.6 3.0 1.0	ʃu⁴²	0	1389	550	300	ʃ u ⁴²	i n t	1389	559	COOKED	3371	75
3372	BiaoMin-591_cooked-1	Mienic	COOKED	cooked	熟	BiaoMin	Biao Min	biao1254	tʰ j ɔ ²¹	269	348	阳入	²¹	BiaoMon	ȶʰ ɔ ⁸/²⁴	0	1750	1 6 7 8	ACXT	TJU3	1	1.T.C 1.J.C 1.U.V 1.3.T	1.6 1.2 3.0 1.0	tʰjɔ²¹	0	1386	551	298	tʰ j ɔ ²¹	i m n t	1386	557	COOKED	3372	75
1943	EasternLuobuohe-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	EasternLuobuohe	Luobuohe, Eastern	luop1235	q o ⁰/⁵ + ȵ a ²⁴	1191	0	轻声 阴去.阳去.*阴去.*阳去	⁰/⁵ ²⁴	Luopohe				1 7 8 9 4 7 8	AXT_AXT	KU6_NA2	3	3.K.C 3.U.V 3.6.T 3._._ 3.N.C 3.A.V 3.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qo⁰/⁵+ȵa²⁴	0	1402 1400	552	303	q - o ⁰/⁵ + ȵ a - ²⁴	i n t + i n t	1402 1363	561	_cooked COOKED	1943	76
1944	WesternLuobuohe-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	WesternLuobuohe	Luobuohe, Western	luop1235	ȵ ɑ ³⁵	1191	0	阴去.阳去.*阴去.*阳去	³⁵	Luopohe				4 7 8	AXT	NA2	10	10.N.C 10.A.V 10.2.T	1.6 3.0 1.0	ȵɑ³⁵	0	1400	553	303	ȵ ɑ - ³⁵	i n t	1363	561	COOKED	1944	76
1945	SouthernGuizhouChuanqiandian-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ɳ ɔ ³⁵	1191	442	阴去	³⁵	CentralMashanHmong	ɳ ɔ ⁵ᵇ/⁵	0	2141	4 7 8	AXT	NU2	8	8.N.C 8.U.V 8.2.T	1.6 3.0 1.0	ɳɔ³⁵	0	1400	553	303	ɳ ɔ - ³⁵	i n t	1363	561	COOKED	1945	76
1946	WesternXiangxi-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	WesternXiangxi	Xiangxi, West	west2430	ɬ j e ⁵³	1191	0	*阴上.*阳上	⁵³	WesternXiangxiMiao				5 6 7 8	ACXT	LJE3	11	11.L.C 11.J.C 11.E.V 11.3.T	1.6 1.2 3.0 1.0	ɬje⁵³	0	1405	554	307	ɬ j e ⁵³	i m n t	1405	566	COOKED	1946	76
1947	NorthernQiandong-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	NorthernQiandong	Qiandong, North	nort2747	k a ³⁵	1191	0	阴上	³⁵	NorthernQiandongMiao				1 7 8	AXT	KA2	7	7.K.C 7.A.V 7.2.T	1.6 3.0 1.0	ka³⁵	0	1402	555	303	k - a ³⁵	i n t	1402	563	COOKED	1947	76
1948	WesternBaheng-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	WesternBaheng	Baheng, West	pahn1237	ʔ e ⁵³	1191	0	阴入	⁵³	PaHng				1 7 8	AXT	HE3	9	9.H.C 9.E.V 9.3.T	1.6 3.0 1.0	ʔe⁵³	0	1401	556	304	ʔ e ⁵³	i n t	1401	562	COOKED	1948	76
1949	EasternBaheng-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	EasternBaheng	Baheng, East	pahn1237	ʔ e ⁵³	1191	0	阴入	⁵³	PaHng				1 7 8	AXT	HE3	2	2.H.C 2.E.V 2.3.T	1.6 3.0 1.0	ʔe⁵³	0	1401	556	304	ʔ e ⁵³	i n t	1401	562	COOKED	1949	76
1950	Jiongnai-261_cookedrice-1	Hmongic	COOKED RICE	cooked rice	饭	Jiongnai	Jiongnai	jion1236	k w e ⁵⁵	1191	0	阴入	⁵⁵	JiongnaiBunu				1 6 7 8	ACXT	KWE5	4	4.K.C 4.W.C 4.E.V 4.5.T	1.6 1.2 3.0 1.0	kwe⁵⁵	0	1403	557	305	k w e ⁵⁵	i m n t	1403	564	COOKED	1950	76
1951	Mien-261_cookedrice-1	Mienic	COOKED RICE	cooked rice	饭	Mien	Mien	iumi1238	n̥ aː ŋ ²⁴	1191	442	阴去	²⁴	luMien	n aː ŋ ⁵	0	2142	4 7 4 8	AXLT	NAN2	6	6.N.C 6.A.V 6.N.c 6.2.T	1.6 3.0 1.1 1.0	n̥aːŋ²⁴	0	1400	553	303	n̥ aː ŋ ²⁴	i n c t	1363	561	COOKED	1951	76
1952	KimMun-261_cookedrice-1	Mienic	COOKED RICE	cooked rice	饭	KimMun	Kim Mun	kimm1245	ʃ u ³⁵	1191	442	阴平.阳平.阴入.阳入	³⁵	KimMun	n a ŋ ⁵¹	0	2143	3 7 8	AXT	SY2	5	5.S.C 5.Y.V 5.2.T	1.6 3.0 1.0	ʃu³⁵	0	1404	558	306	ʃ u ³⁵	i n t	1404	565	COOKED	1952	76
1953	BiaoMin-261_cookedrice-1	Mienic	COOKED RICE	cooked rice	饭	BiaoMin	Biao Min	biao1254	n̥ a ŋ ²⁴	1191	442	阴去.*阴去.*阳去	²⁴	BiaoMon	n̥ a ŋ ⁵	0	2144	4 7 4 8	AXLT	NAN2	1	1.N.C 1.A.V 1.N.c 1.2.T	1.6 3.0 1.1 1.0	n̥aŋ²⁴	0	1400	553	303	n̥ a ŋ ²⁴	i n c t	1363	561	COOKED	1953	76
1954	ZaoMin-261_cookedrice-1	Mienic	COOKED RICE	cooked rice	饭	ZaoMin	Zao Min	dzao1238	n o ŋ ⁴²	1191	442	阴去.*阴上.*阳上	⁴²	DzaoMin	n ɔ ŋ ⁵	0	2145	4 7 4 8	AXLT	NUN3	13	13.N.C 13.U.V 13.N.c 13.3.T	1.6 3.0 1.1 1.0	noŋ⁴²	0	1400	553	303	n o ŋ ⁴²	i n c t	1363	561	COOKED	1954	76
81	WhiteHmong-333_tocough-1	Hmongic	COUGH	to cough		WhiteHmong	White Hmong	hmon1333	ʰn o ŋ ¹¹	879	292	阴平.阴上.阳上.阴入	¹¹	HmongDaw	ʰn̥ ɔ ŋ ⁷/³	0	1521	4 7 4 8	AXLT	NUN1	12	12.N.C 12.U.V 12.N.c 12.1.T	1.6 3.0 1.1 1.0	ʰnoŋ¹¹	0	1416	559	310	ʰn o ŋ ¹¹	i n c t	1416	567	COUGH	81	77
4153	EasternLuobuohe-744_cough-1	Hmongic	COUGH	cough	咳嗽	EasternLuobuohe	Luobuohe, Eastern	luop1235	n o ³³	879	292	阴入.阳入.*阴平	³³	Luopohe	n̥ o ᴰ/⁴	0	1523	4 7 8	AXT	NU4	3	3.N.C 3.U.V 3.4.T	1.6 3.0 1.0	no³³	0	1416	559	310	n o - ³³	i n t	1416	567	COUGH	4153	77
4154	WesternLuobuohe-744_cough-1	Hmongic	COUGH	cough	咳嗽	WesternLuobuohe	Luobuohe, Western	luop1235	n̥ o ¹¹	879	292	0	¹¹	Luopohe	n̥ o ᴰ/⁴	0	1523	4 7 8	AXT	NU1	10	10.N.C 10.U.V 10.1.T	1.6 3.0 1.0	n̥o¹¹	0	1418	560	311	n̥ o ¹¹	i n t	1418	571	COUGH	4154	77
4155	SouthernGuizhouChuanqiandian-744_cough-1	Hmongic	COUGH	cough	咳嗽	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n ə ŋ ¹³	879	292	阳去.阴入.*阴去.*阳去	¹³	CentralMashanHmong	n a ŋ ⁷/³	0	1522	4 7 4 8	AXLT	NEN2	8	8.N.C 8.E.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	nəŋ¹³	1	1416	559	310	n ə ŋ ¹³	i n c t	1416	567	COUGH	4155	77
4156	WesternXiangxi-744_cough-1	Hmongic	COUGH	cough	咳嗽	WesternXiangxi	Xiangxi, West	west2430	tɕ i ⁴⁴ + n u ⁴⁴	879	0	阴上.阴入.*阴平 阴上.阴入.*阴平	⁴⁴ ⁴⁴	WesternXiangxiMiao				2 7 8 9 4 7 8	AXT_AXT	CI5_NY5	11	11.C.C 11.I.V 11.5.T 11._._ 11.N.C 11.Y.V 11.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɕi⁴⁴+nu⁴⁴	0	1419 1416	561	310	tɕ i ⁴⁴ + n u - ⁴⁴	i n t + i n t	1419 1416	567	_cough COUGH	4156	77
4157	NorthernQiandong-744_cough-1	Hmongic	COUGH	cough	咳嗽	NorthernQiandong	Qiandong, North	nort2747	ŋ o ¹¹	879	292	阳上	¹¹	NorthernQiandongMiao	ŋ o ⁴	0	1520	4 7 8	AXT	NU1	7	7.N.C 7.U.V 7.1.T	1.6 3.0 1.0	ŋo¹¹	0	1416	559	310	ŋ o - ¹¹	i n t	1416	567	COUGH	4157	77
4158	WesternBaheng-744_cough-1	Hmongic	COUGH	cough	咳嗽	WesternBaheng	Baheng, West	pahn1237	qʰ ɔ ⁵⁵	879	0	阴去	⁵⁵	PaHng				1 7 8	AXT	KU5	9	9.K.C 9.U.V 9.5.T	1.6 3.0 1.0	qʰɔ⁵⁵	0	1415	562	309	qʰ ɔ ⁵⁵	i n t	1415	570	COUGH	4158	77
4159	EasternBaheng-744_cough-1	Hmongic	COUGH	cough	咳嗽	EasternBaheng	Baheng, East	pahn1237	qʰ au ⁵⁵	879	0	阴去.*阴平	⁵⁵	PaHng				1 7 8	AXT	KA5	2	2.K.C 2.A.V 2.5.T	1.6 3.0 1.0	qʰau⁵⁵	0	1415	562	309	qʰ au ⁵⁵	i n t	1415	570	COUGH	4159	77
4160	Jiongnai-744_cough-1	Hmongic	COUGH	cough	咳嗽	Jiongnai	Jiongnai	jion1236	h ai ⁵³	879	0	阴上.*阴上.*阳上	⁵³	JiongnaiBunu				3 7 8	AXT	HA3	4	4.H.C 4.A.V 4.3.T	1.6 3.0 1.0	hai⁵³	0	1417	563	308	h ai ⁵³	i n t	1417	569	COUGH	4160	77
4161	Mien-744_cough-1	Mienic	COUGH	cough	咳嗽	Mien	Mien	iumi1238	n̥ o p ⁵⁵ + h a ³³	879	292	阴入 阴平	⁵⁵ ³³	luMien	n̥ o p ⁷/³	0	1524	4 7 1 8 9 3 7 8	AXLT_AXT	NUP5_HA4	6	6.N.C 6.U.V 6.P.c 6.5.T 6._._ 6.H.C 6.A.V 6.4.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	n̥op⁵⁵+ha³³	0	1414 1417	564	308	n̥ o p ⁵⁵ + h a ³³	i n c t + i n t	1414 1417	568	COUGH _cough	4161	77
4162	KimMun-744_cough-1	Mienic	COUGH	cough	咳嗽	KimMun	Kim Mun	kimm1245	n o k ¹¹ + h a ¹¹	879	0	阴平.阳平.阴入.阳入 阴平.阳平.阴入.阳入	¹¹ ¹¹	KimMun				4 7 1 8 9 3 7 8	AXLT_AXT	NUK1_HA1	5	5.N.C 5.U.V 5.K.c 5.1.T 5._._ 5.H.C 5.A.V 5.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	nok¹¹+ha¹¹	0	1414 1417	564	308	n o k ¹¹ + h a ¹¹	i n c t + i n t	1414 1417	568	COUGH _cough	4162	77
4163	BiaoMin-744_cough-1	Mienic	COUGH	cough	咳嗽	BiaoMin	Biao Min	biao1254	n̥ ə t ⁵³	879	292	阴入.*阴上.*阳上	⁵³	BiaoMon	n̥ ə n ⁷/³	0	1525	4 7 1 8	AXLT	NET3	1	1.N.C 1.E.V 1.T.c 1.3.T	1.6 3.0 1.1 1.0	n̥ət⁵³	0	1414	565	308	n̥ ə t ⁵³	i n c t	1414	568	COUGH	4163	77
4164	ZaoMin-744_cough-1	Mienic	COUGH	cough	咳嗽	ZaoMin	Zao Min	dzao1238	ʔ e ŋ ⁴⁴	879	0	阴平.阳上.阴入.*阴平	⁴⁴	DzaoMin				1 7 4 8	AXLT	HEN5	13	13.H.C 13.E.V 13.N.c 13.5.T	1.6 3.0 1.1 1.0	ʔeŋ⁴⁴	0	1420	566	312	ʔ e ŋ ⁴⁴	i n c t	1420	573	COUGH	4164	77
202	WhiteHmong-863_tocover-1	Hmongic	COVER	to cover		WhiteHmong	White Hmong	hmon1333	v o ³⁴	761	61	阴上	³⁴	HmongDaw	ⁿp ɔ ⁶/¹³	0	278	3 7 8	AXT	BU2	12	12.B.C 12.U.V 12.2.T	1.6 3.0 1.0	vo³⁴	0	1439	567	320	v o ³⁴	i n t	1439	582	COVER	202	78
3934	EasternLuobuohe-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	EasternLuobuohe	Luobuohe, Eastern	luop1235	ˀj u ⁵⁵	761	61	阴上.阳上.*阴上.*阳上	⁵⁵	Luopohe	ⁿp u ᶜ/³	0	280	6 7 8	AXT	JY5	3	3.J.C 3.Y.V 3.5.T	1.6 3.0 1.0	ˀju⁵⁵	0	1432	568	314	ˀj u ⁵⁵	i n t	1432	576	COVER	3934	78
3935	WesternLuobuohe-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	WesternLuobuohe	Luobuohe, Western	luop1235	ʈʰ o ⁵⁵	761	61	阴上.阳上.*阴平.*阴上.*阳上	⁵⁵	Luopohe	ⁿp u ᶜ/³	0	280	1 7 8	AXT	TU5	10	10.T.C 10.U.V 10.5.T	1.6 3.0 1.0	ʈʰo⁵⁵	0	1437	569	319	ʈʰ o ⁵⁵	i n t	1437	580	COVER	3935	78
3936	SouthernGuizhouChuanqiandian-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ⁿp o ¹³	761	61	阳去.阴入.*阴去.*阳去	¹³	CentralMashanHmong	ⁿp u ⁶/¹³	0	279	1 7 8	AXT	PU2	8	8.P.C 8.U.V 8.2.T	1.6 3.0 1.0	ⁿpo¹³	0	1431	570	313	ⁿp o ¹³	i n t	1431	574	COVER	3936	78
3937	WesternXiangxi-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	WesternXiangxi	Xiangxi, West	west2430	tɕ i ⁴⁴ + p o ³¹	761	0	阴上.阴入.*阴平 阳平.*阳平	⁴⁴ ³¹	WesternXiangxiMiao				2 7 8 9 1 7 8	AXT_AXT	CI5_PU3	11	11.C.C 11.I.V 11.5.T 11._._ 11.P.C 11.U.V 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɕi⁴⁴+po³¹	0	1438 1431	571	313	tɕ i ⁴⁴ + p o ³¹	i n t + i n t	1438 1431	574	_cover COVER	3937	78
3938	NorthernQiandong-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	NorthernQiandong	Qiandong, North	nort2747	m ə ¹³	761	61	阴入.*阴去.*阳去	¹³	NorthernQiandongMiao	m ə ⁶/¹³	0	277	4 7 8	AXT	ME2	7	7.M.C 7.E.V 7.2.T	1.6 3.0 1.0	mə¹³	0	1436	572	318	m ə ¹³	i n t	1436	579	COVER	3938	78
3939	WesternBaheng-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	WesternBaheng	Baheng, West	pahn1237	p o ³³	761	61	阳平	³³	PaHng	pʰ o ⁵	0	281	1 7 8	AXT	PU4	9	9.P.C 9.U.V 9.4.T	1.6 3.0 1.0	po³³	1	1431	570	313	p o ³³	i n t	1431	574	COVER	3939	78
3940	EasternBaheng-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	EasternBaheng	Baheng, East	pahn1237	pʰ o ⁵⁵	761	61	阴去.*阴平	⁵⁵	PaHng	pʰ o ⁵	0	281	1 7 8	AXT	PU5	2	2.P.C 2.U.V 2.5.T	1.6 3.0 1.0	pʰo⁵⁵	0	1431	570	313	pʰ o ⁵⁵	i n t	1431	574	COVER	3940	78
3941	Jiongnai-698_coverupobjects-1	Hmongic	COVER	cover up (objects)	盖（锅）	Jiongnai	Jiongnai	jion1236	tʃ a ⁴⁴	761	0	阴平.*阴平	⁴⁴	JiongnaiBunu				1 7 8	AXT	TA5	4	4.T.C 4.A.V 4.5.T	1.6 3.0 1.0	tʃa⁴⁴	0	1433	573	315	tʃ a ⁴⁴	i n t	1433	577	COVER	3941	78
3942	Mien-698_coverupobjects-1	Mienic	COVER	cover up (objects)	盖（锅）	Mien	Mien	iumi1238	k o m ⁵³	761	674	阴上	⁵³	luMien	k o m ³	0	3248	1 7 4 8	AXLT	KUM3	6	6.K.C 6.U.V 6.M.c 6.3.T	1.6 3.0 1.1 1.0	kom⁵³	0	1435	574	317	k o m ⁵³	i n c t	1435	575	COVER	3942	78
3943	KimMun-698_coverupobjects-1	Mienic	COVER	cover up (objects)	盖（锅）	KimMun	Kim Mun	kimm1245	g aː p ³⁵	761	674	阴平.阳平.阴入.阳入	³⁵	KimMun	k ɔ m ³	0	3249	1 7 1 8	AXLT	KAP2	5	5.K.C 5.A.V 5.P.c 5.2.T	1.6 3.0 1.1 1.0	gaːp³⁵	0	1434	575	316	g aː p ³⁵	i n c t	1434	578	COVER	3943	78
3944	BiaoMin-698_coverupobjects-1	Mienic	COVER	cover up (objects)	盖（锅）	BiaoMin	Biao Min	biao1254	pʰ u ²⁴	761	0	阴去.*阴去.*阳去	²⁴	BiaoMon				1 7 8	AXT	PY2	1	1.P.C 1.Y.V 1.2.T	1.6 3.0 1.0	pʰu²⁴	0	1431	570	313	pʰ u ²⁴	i n t	1431	574	COVER	3944	78
3945	ZaoMin-698_coverupobjects-1	Mienic	COVER	cover up (objects)	盖（锅）	ZaoMin	Zao Min	dzao1238	k o m ²⁴	761	0	阴上.*阳平	²⁴	DzaoMin				1 7 4 8	AXLT	KUM2	13	13.K.C 13.U.V 13.M.c 13.2.T	1.6 3.0 1.1 1.0	kom²⁴	0	1435	574	317	k o m ²⁴	i n c t	1435	575	COVER	3945	78
3946	ZaoMin-698_coverupobjects-2	Mienic	COVER	cover up (objects)	盖（锅）	ZaoMin	Zao Min	dzao1238	k o n ²⁴	761	0	阴上.*阳平	²⁴	DzaoMin				1 7 4 8	AXLT	KUN2	13	13.K.C 13.U.V 13.N.c 13.2.T	1.6 3.0 1.1 1.0	kon²⁴	0	6776	574	317	k o n ²⁴	i n c t	6776	583	COVER	3946	78
4335	EasternLuobuohe-767_crawl-1	Hmongic	CRAWL	crawl	爬行	EasternLuobuohe	Luobuohe, Eastern	luop1235	ⁿtɕ i ²⁴	96	0	阴去.阳去.*阴去.*阳去	²⁴	Luopohe				2 7 8	AXT	CI2	3	3.C.C 3.I.V 3.2.T	1.6 3.0 1.0	ⁿtɕi²⁴	1	1450	576	322	ⁿtɕ i - ²⁴	i n t	1450	585	CRAWL	4335	79
4336	WesternLuobuohe-767_crawl-1	Hmongic	CRAWL	crawl	爬行	WesternLuobuohe	Luobuohe, Western	luop1235	ⁿtɕ i n ³⁵	96	0	阴去.阳去.*阴去.*阳去	³⁵	Luopohe				2 7 4 8	AXLT	CIN2	10	10.C.C 10.I.V 10.N.c 10.2.T	1.6 3.0 1.1 1.0	ⁿtɕin³⁵	1	1450	576	322	ⁿtɕ i n ³⁵	i n c t	1450	585	CRAWL	4336	79
4337	SouthernGuizhouChuanqiandian-767_crawl-1	Hmongic	CRAWL	crawl	爬行	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ⁿtɕ a ŋ ¹³	96	716	阳去.阴入.*阴去.*阳去	¹³	CentralMashanHmong	ⁿtɕ a ŋ ⁶/¹³	0	3450	2 7 4 8	AXLT	CAN2	8	8.C.C 8.A.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	ⁿtɕaŋ¹³	0	1450	576	322	ⁿtɕ a ŋ ¹³	i n c t	1450	585	CRAWL	4337	79
4338	WesternXiangxi-767_crawl-1	Hmongic	CRAWL	crawl	爬行	WesternXiangxi	Xiangxi, West	west2430	tɕ i ⁴⁴ + ⁿk u ⁵³	96	0	阴上.阴入.*阴平 *阴上.*阳上	⁴⁴ ⁵³	WesternXiangxiMiao				2 7 8 9 1 7 8	AXT_AXT	CI5_KY3	11	11.C.C 11.I.V 11.5.T 11._._ 11.K.C 11.Y.V 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɕi⁴⁴+ⁿku⁵³	0	1450 1449	577	322	tɕ i - ⁴⁴ + ⁿk u ⁵³	i n t + i n t	1450 1449	585	CRAWL _crawl	4338	79
4339	NorthernQiandong-767_crawl-1	Hmongic	CRAWL	crawl	爬行	NorthernQiandong	Qiandong, North	nort2747	nʲ o ŋ ¹³	96	716	阴入.*阴去.*阳去	¹³	NorthernQiandongMiao	ȵ o ŋ ⁶/¹³	0	3448	4 7 4 8	AXLT	NUN2	7	7.N.C 7.U.V 7.N.c 7.2.T	1.6 3.0 1.1 1.0	nʲoŋ¹³	0	1448	578	321	nʲ o ŋ ¹³	i n c t	1448	584	CRAWL	4339	79
4340	WesternBaheng-767_crawl-1	Hmongic	CRAWL	crawl	爬行	WesternBaheng	Baheng, West	pahn1237	q ɔ ³³	96	0	阳平	³³	PaHng				1 7 8	AXT	KU4	9	9.K.C 9.U.V 9.4.T	1.6 3.0 1.0	qɔ³³	0	1449	579	322	q ɔ ³³	i n t	1449	586	CRAWL	4340	79
4341	EasternBaheng-767_crawl-1	Hmongic	CRAWL	crawl	爬行	EasternBaheng	Baheng, East	pahn1237	q au ³³	96	0	阳平.*阳平	³³	PaHng				1 7 8	AXT	KA4	2	2.K.C 2.A.V 2.4.T	1.6 3.0 1.0	qau³³	1	1449	579	322	q au ³³	i n t	1449	586	CRAWL	4341	79
4342	Jiongnai-767_crawl-1	Hmongic	CRAWL	crawl	爬行	Jiongnai	Jiongnai	jion1236	ⁿp l a ¹¹	96	0	阳去	¹¹	JiongnaiBunu				1 5 7 8	ACXT	PLA1	4	4.P.C 4.L.C 4.A.V 4.1.T	1.6 1.2 3.0 1.0	ⁿpla¹¹	0	1447	580	321	ⁿp l a ¹¹	i m n t	1447	587	CRAWL	4342	79
4343	Mien-767_crawl-1	Mienic	CRAWL	crawl	爬行	Mien	Mien	iumi1238	ȵ oː ŋ ³³	96	619	阴平	³³	luMien	ȵ ɔ ŋ ¹	0	3020	4 7 4 8	AXLT	NUN4	6	6.N.C 6.U.V 6.N.c 6.4.T	1.6 3.0 1.1 1.0	ȵoːŋ³³	0	1448	578	321	ȵ oː ŋ ³³	i n c t	1448	584	CRAWL	4343	79
4344	KimMun-767_crawl-1	Mienic	CRAWL	crawl	爬行	KimMun	Kim Mun	kimm1245	ȵ o ŋ ³⁵	96	619	阴平.阳平.阴入.阳入	³⁵	KimMun	ȵ ɔː ŋ ¹	0	3021	4 7 4 8	AXLT	NUN2	5	5.N.C 5.U.V 5.N.c 5.2.T	1.6 3.0 1.1 1.0	ȵoŋ³⁵	0	1448	578	321	ȵ o ŋ ³⁵	i n c t	1448	584	CRAWL	4344	79
