ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	RATLIFF_COGID	RATLIFF_TOKENS	TONE_CLASS	TONE_VALUE	CROSSIDS	NOTE
1496	NorthernQiandong	SNAIL	river snails			k i ³³	SNAIL	819	5297	819	k i ¹	阴平.*阴平	³³	5297	
1497	WesternBaheng	SNAIL	river snails			q o ⁰/³ + l au ³⁵	_SNAIL snail	819	5297 5299			轻声 阴平	⁰/³ ³⁵	5297 5299	
1498	EasternBaheng	SNAIL	river snails			d j e ³³ + l o ³⁵	_SNAIL snail	819	5298 5299			阳平.*阳平 阴平.*阴去.*阴入.*阳入	³³ ³⁵	5298 5299	
1499	Jiongnai	SNAIL	river snails			l j o ³³	SNAIL	819	5303			阳平	³³	5303	
1500	Mien	SNAIL	river snails			k w ei ³³	SNAIL	736	5297	736	k w ei ¹	阴平	³³	5297	
1501	KimMun	SNAIL	river snails			k w ei ³⁵	SNAIL	736	5297	736	k u/w i ³	阴平.阳平.阴入.阳入	³⁵	5297	
1502	BiaoMin	SNAIL	river snails			k l i ³³	SNAIL	736	5297	736	k j au ³	阴平.*阴平	³³	5297	
1503	ZaoMin	SNAIL	river snails			k i ⁴⁴	SNAIL	810	5297	810	k i ¹	阴平.阳上.阴入.*阴平	⁴⁴	5297	
52	WhiteHmong	FROG	the frog			q a ³⁴	FROG	761	2545	761	q a ³	阴上	³⁴	2545	
1467	EasternLuobuohe	FROG	frog			q ei ⁵⁵ + t ə ⁰/² + ⁿp j ɛ ³¹	FROG _frog _frog	761	2545 2546 2547	761	q e n ᴮ/²	阴上.阳上.*阴上.*阳上 轻声 阴平.阳平.*阳平	⁵⁵ ⁰/² ³¹	2545 2546 2547	
1468	WesternLuobuohe	FROG	frog			ʔ ə ⁰/² + q ei ⁵⁵ + t ɑ ŋ ⁵⁵	_frog FROG _frog	761	2550 2545 2548	761	q e n ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵ ⁵⁵	2550 2545 2548	
1469	SouthernGuizhouChuanqiandian	FROG	frog			h u/w a ⁴²	FROG	761	2549	761	h u/w a ³ᵃ/³	阴上.*阴上.*阳上	⁴²	2549	
1470	WesternXiangxi	FROG	frog			t ɑ ³⁵ + k u ⁴⁴	_frog FROG	761	2546 2545			阴平 阴上.阴入.*阴平	³⁵ ⁴⁴	2546 2545	
1471	NorthernQiandong	FROG	frog			q a ŋ ³⁵	FROG	761	2545	761	q a ŋ ³	阴上	³⁵	2545	
1472	WesternBaheng	FROG	frog			k eu ³¹	FROG	761	2545	761	k ɤ ⁷/³	阴上	³¹	2545	
1473	EasternBaheng	FROG	frog			k eu ⁵³	FROG	761	2545	761	k ɤ ⁷/³	阴入	⁵³	2545	
1474	Jiongnai	FROG	frog			k e n ⁵³	FROG	761	2545	761	k e n ³	阴上.*阴上.*阳上	⁵³	2545	
1475	Mien	FROG	frog			k ɛ ŋ ⁵³	FROG	761	2545			阴上	⁵³	2545	
1476	KimMun	FROG	frog			tʃ a ŋ ⁵¹ + k oː m ³¹	_frog FROG	761	2548 2545	761	ȶ eː ŋ ³	阴上.阳上.*阴上.*阳上 阴上.阳上.阴去.阳去.*阳平	⁵¹ ³¹	2548 2545	
1477	BiaoMin	FROG	frog			m a ⁴² + k w ai ³⁵	_frog FROG	761	2544 2545	761	k w a ³	阳上.阳去 阴上	⁴² ³⁵	2544 2545	
1478	ZaoMin	FROG	frog			k u p ⁴⁴	FROG	761	2551			阴平.阳上.阴入.*阴平	⁴⁴	2551	
1479	ZaoMin	FROG	frog			t j a n ⁵³ + t u ŋ ²² + k a ŋ ²⁴	_frog _frog FROG	761	2548 2552 2545			阳平.*阴去.*阳去 阳去.阳入 阴上.*阳平	⁵³ ²² ²⁴	2548 2552 2545	
53	WhiteHmong	BODY	the body			tɕ e ³⁴	BODY	567	562	567	c e ³	阴上	³⁴	562	
773	EasternLuobuohe	BODY	body			t ə ⁰/² + tɕ i ⁵⁵	_body BODY	567	560 562	567	tɕ i ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	120 562	
774	WesternLuobuohe	BODY	body			t ə ⁰/² + tɕ i ⁵⁵	_body BODY	567	560 562	567	tɕ i ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	120 562	
775	SouthernGuizhouChuanqiandian	BODY	body			tɕ æ ⁴²	BODY	567	562	567	tɕ æ ³ᵃ/³	阴上.*阴上.*阳上	⁴²	562	
776	WesternXiangxi	BODY	body			q o ³⁵ + tɕ ɯ ⁴⁴	_body BODY	567	563 562	567	tɕ ɯ ³	阴平 阴上.阴入.*阴平	³⁵ ⁴⁴	563 562	
777	NorthernQiandong	BODY	body			q a ³³ + tɕ i ³⁵	_body BODY	567	563 562	567	tɕ i ³	阴平.*阴平 阴上	³³ ³⁵	563 562	
778	WesternBaheng	BODY	body			ʔ a ⁰/³ + t a ŋ ³¹	_body BODY	567	564 561			轻声 阴上	⁰/³ ³¹	564 561	
779	EasternBaheng	BODY	body			ⁿt i ³⁵ + t a ŋ ³¹³	_body BODY	567	560 561			阴平.*阴去.*阴入.*阳入 阴上.*阴上	³⁵ ³¹³	120 561	
780	Jiongnai	BODY	body			t j a ⁵³	BODY	567	562			阴上.*阴上.*阳上	⁵³	562	
781	Mien	BODY	body			s i n ³³	BODY	567	559			阴平	³³	559	
782	KimMun	BODY	body			t eː n ¹¹	BODY	567	561			阴平.阳平.阴入.阳入	¹¹	561	
783	BiaoMin	BODY	body			ʑ ɛ n ⁴² + ɕ ɛ n ³³	_body BODY	567	558 559			阳上.阳去 阴平.*阴平	⁴² ³³	558 559	
784	ZaoMin	BODY	body			t a n ⁴⁴	BODY	567	561			阴平.阳上.阴入.*阴平	⁴⁴	561	
54	WhiteHmong	SKIN	the skin or hide			t aɯ ³⁴	SKIN	203	5248	203	t aɯ ³	阴上	³⁴	5248	
965	EasternLuobuohe	SKIN	skin			ʔ a ⁰/² + t o ⁵⁵	_skin SKIN	203	5247 5248	203	t o ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	5247 5248	
966	WesternLuobuohe	SKIN	skin			q o ⁰/⁵ + t o ⁵⁵	_SKIN skin	203	5246 5248	203	t o ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/⁵ ⁵⁵	5246 5248	
967	SouthernGuizhouChuanqiandian	SKIN	skin			t ə ⁴²	SKIN	203	5248	203	t ə ³ᵃ/³	阴上.*阴上.*阳上	⁴²	5248	
968	WesternXiangxi	SKIN	skin			q o ³⁵ + c ɔ ⁵³	_SKIN skin	131	5246 5250	203	t ə ³	阴平 *阴上.*阳上	³⁵ ⁵³	5246 5250	
969	NorthernQiandong	SKIN	skin			q a ³³ + t u ³⁵	_SKIN skin	203	5246 5248	203	t u ³	阴平.*阴平 阴上	³³ ³⁵	5246 5248	
970	WesternBaheng	SKIN	skin			q a ⁰/³ + l j u ⁵⁵	_SKIN skin	203	5246 5249			轻声 阴去	⁰/³ ⁵⁵	5246 5249	
971	EasternBaheng	SKIN	skin			qʰ au ³⁵	SKIN	131	5246			阴平.*阴去.*阴入.*阳入	³⁵	5246	
972	Jiongnai	SKIN	skin			k j u ³⁵	SKIN	131	5246			阴去.*阴去.*阳去	³⁵	5246	
973	Mien	SKIN	skin			d o p ⁵⁵	SKIN	203	5245	203	d u p ⁷/³	阴入	⁵⁵	5245	
974	KimMun	SKIN	skin			d o p ⁵¹	SKIN	203	5245	203	d u p ⁷/³	阴上.阳上.*阴上.*阳上	⁵¹	5245	
975	BiaoMin	SKIN	skin			d i t ⁵³	SKIN	203	5245	203	d i n ⁷/³	阴入.*阴上.*阳上	⁵³	5245	
976	ZaoMin	SKIN	skin			d i p ⁴⁴	SKIN	203	5245	203	d i p ⁷/³	阴平.阳上.阴入.*阴平	⁴⁴	5245	
55	WhiteHmong	BEARD	the beard			h ɯ ⁵³ + ts ɯ ³⁴	_BEARD beard	326	304 311			阳平 阴上	⁵³ ³⁴	304 311	
845	EasternLuobuohe	BEARD	beard/ moustache/ goatee			q o ⁰/⁵ + ȵ i n ²⁴	_beard BEARD	634	308 309	634	ȵ e n ᶜ/³	轻声 阴去.阳去.*阴去.*阳去	⁰/⁵ ²⁴	308 309	
846	WesternLuobuohe	BEARD	beard/ moustache/ goatee			ʔ ə ⁰/² + q e n ³¹ + ȵ i ³⁵	_beard _beard BEARD	634	304 305 309	634	ȵ e n ᶜ/³	轻声 阴平.阳平.阴入.阳入.*阳平 阴去.阳去.*阴去.*阳去	⁰/² ³¹ ³⁵	304 305 309	
847	SouthernGuizhouChuanqiandian	BEARD	beard/ moustache/ goatee			ȵ a ³³	BEARD	634	309	634	ȵ a ⁶/¹³	0	³³	309	
848	WesternXiangxi	BEARD	beard/ moustache/ goatee			p a ⁴⁴ + ȵ i ⁴²	_beard BEARD	634	306 309	634	ȵ i ⁶/¹³	阴上.阴入.*阴平 0	⁴⁴ ⁴²	306 309	
849	NorthernQiandong	BEARD	beard/ moustache/ goatee			q a ³³ + ɕʰ a ŋ ⁴⁴ + nʲ a ŋ ¹³	_beard _beard BEARD	634	308 305 309	634	ȵ a ŋ ⁶/¹³	阴平.*阴平 阴去 阴入.*阴去.*阳去	³³ ⁴⁴ ¹³	308 305 309	
850	WesternBaheng	BEARD	beard/ moustache/ goatee			ȵ i ⁴⁴	BEARD	634	309	634	n ɪ̃ ⁶/¹³	阳去	⁴⁴	309	
851	EasternBaheng	BEARD	beard/ moustache/ goatee			p i ³⁵ + l a ⁵⁵	BEARD _beard	634	306 307	634	n ɪ̃ ⁶/¹³	阴平.*阴去.*阴入.*阳入 阴去.*阴平	³⁵ ⁵⁵	306 307	
852	Jiongnai	BEARD	beard/ moustache/ goatee			ŋ j i ¹¹	BEARD	634	309	634	ȵ i ⁶/¹³	阳去	¹¹	309	
853	Mien	BEARD	beard/ moustache/ goatee			s j aː m ³³	BEARD	326	310	326	ɕ w a m ¹	阴平	³³	310	
854	KimMun	BEARD	beard/ moustache/ goatee			t oː m ¹¹	BEARD	326	310	326	tθ ɔː m ¹’/¹	阴平.阳平.阴入.阳入	¹¹	310	
855	BiaoMin	BEARD	beard/ moustache/ goatee			h əu ³¹ + ts a ŋ ³⁵	_BEARD beard	326	304 305			阳平.*阳平 阴上	³¹ ³⁵	304 305	
856	ZaoMin	BEARD	beard/ moustache/ goatee			ts a m ⁴⁴	BEARD	326	310	326	ts a m ¹	阴平.阳上.阴入.*阴平	⁴⁴	310	
56	WhiteHmong	BLOOD	the blood			ⁿtʃʱ a ³⁴	BLOOD	554	515	554	ⁿʈʂʰ a ³	阴上	³⁴	515	
1087	EasternLuobuohe	BLOOD	blood			t ə ⁰/² + ⁿtsʰ e n ⁴⁴	_blood BLOOD	554	515 514	554	ˀʈʂʰ e n ᴮ/²	轻声 0	⁰/² ⁴⁴	515 514	
1088	WesternLuobuohe	BLOOD	blood			t ə ⁰/² + ⁿtsʰ e n ⁴⁴	_blood BLOOD	554	515 514	554	ˀʈʂʰ e n ᴮ/²	轻声 0	⁰/² ⁴⁴	515 514	
1089	SouthernGuizhouChuanqiandian	BLOOD	blood			ⁿts u/w a ²³²	BLOOD	554	514	554	ⁿʈs u/w a ³ᵇ/³	阴上	²³²	514	
1090	WesternXiangxi	BLOOD	blood			ⁿtɕʰ i ⁴⁴	BLOOD	554	514	554	ⁿtɕʰ i ³	阴上.阴入.*阴平	⁴⁴	514	
1091	NorthernQiandong	BLOOD	blood			ɕʰ a ŋ ³⁵	BLOOD	554	513	554	ɕʰ a ŋ ³	阴上	³⁵	513	
1092	WesternBaheng	BLOOD	blood			ȵ̊ ei ³¹	BLOOD	554	516	554	ȵ̥ e ³	阴上	³¹	516	
1093	EasternBaheng	BLOOD	blood			ⁿtɕʰ e ³¹³	BLOOD	554	514	554	ȵ̥ e ³	阴上.*阴上	³¹³	514	
1094	Jiongnai	BLOOD	blood			θ i ⁵³	BLOOD	554	515	554	θ i ³	阴上.*阴上.*阳上	⁵³	515	
1095	Mien	BLOOD	blood			dz j aː m ⁵³	BLOOD	554	513	554	ɕ a m ³	阴上	⁵³	513	
1096	KimMun	BLOOD	blood			ʃ aː m ⁵¹	BLOOD	554	513	554	s aː m ³	阴上.阳上.*阴上.*阳上	⁵¹	513	
1097	BiaoMin	BLOOD	blood			s a n ³⁵	BLOOD	554	513	554	s a n ³	阴上	³⁵	513	
1098	ZaoMin	BLOOD	blood			ʑ a m ²⁴	BLOOD	554	513	554	dz j ɛ m ³	阴上.*阳平	²⁴	513	
57	WhiteHmong	BONE	the bone			p o ⁵⁵ + tsʰ a ³³	BONE _bone	491	584 585	491	tsʰ a ⁵	阴平 阴去	⁵⁵ ³³	584 585	
989	EasternLuobuohe	BONE	bone			ʔ a ⁰/² + tsʰ u ŋ ⁵⁵	_bone BONE	491	582 581	491	tsʰ o ŋ ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	582 581	
990	WesternLuobuohe	BONE	bone			q o ⁰/⁵ + tsʰ o ŋ ⁵⁵	_bone BONE	491	580 581	491	tsʰ o ŋ ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/⁵ ⁵⁵	563 581	
991	SouthernGuizhouChuanqiandian	BONE	bone			s a ŋ ²³²	BONE	491	581	491	s a ŋ ³ᵇ/³	阴上	²³²	581	
992	WesternXiangxi	BONE	bone			q o ³⁵ + s o ŋ ⁴⁴	_bone BONE	491	580 581	491	s o ŋ ³	阴平 阴上.阴入.*阴平	³⁵ ⁴⁴	563 581	
993	NorthernQiandong	BONE	bone			p o ³⁵ + sʰ o ŋ ³⁵	_bone BONE	491	584 581	491	sʰ o ŋ ³	阴上 阴上	³⁵ ³⁵	584 581	
994	WesternBaheng	BONE	bone			q a ⁰/³ + s o ŋ ³¹	_bone BONE	491	580 581	491	s õ ³	轻声 阴上	⁰/³ ³¹	563 581	
995	EasternBaheng	BONE	bone			q a ⁰/³ + s u ŋ ³¹³	_bone BONE	491	580 581	491	s õ ³	轻声 阴上.*阴上	⁰/³ ³¹³	563 581	
996	Jiongnai	BONE	bone			θ ə ŋ ⁵³	BONE	491	581	491	θ ɐ ŋ ³	阴上.*阴上.*阳上	⁵³	581	
997	Mien	BONE	bone			b u ŋ ⁵³	BONE	491	583	491	θ u ŋ ³	阴上	⁵³	583	
998	KimMun	BONE	bone			t o ŋ ⁵¹	BONE	491	581	491	tθ u ŋ ³	阴上.阳上.*阴上.*阳上	⁵¹	581	
999	BiaoMin	BONE	bone			s u/w ə ³⁵	BONE	491	579	491	s w ə ³	阴上	³⁵	579	
1000	ZaoMin	BONE	bone			h i ŋ ²⁴	BONE	491	581	491	h i ŋ ³	阴上.*阳平	²⁴	581	
58	WhiteHmong	HORN (ANATOMY)	the horn			k u ⁵⁵	HORN	727	3141	727	k u ¹	阴平	⁵⁵	3141	
1172	EasternLuobuohe	HORN (ANATOMY)	horn (of cow)			t ə ⁰/² + k a ŋ ³¹	_horn HORN	727	3143 3141	727	k a ŋ ᴬ/¹	轻声 阴平.阳平.*阳平	⁰/² ³¹	120 3141	
1173	WesternLuobuohe	HORN (ANATOMY)	horn (of cow)			t ə ⁰/² + k ɑ ŋ ³¹	_horn HORN	727	3143 3141	727	k a ŋ ᴬ/¹	轻声 阴平.阳平.阴入.阳入.*阳平	⁰/² ³¹	120 3141	
1174	SouthernGuizhouChuanqiandian	HORN (ANATOMY)	horn (of cow)			k o ŋ ³² + ŋ u ⁵³	HORN _horn	727	3141 3142	727	k o ŋ ¹ᵃ/¹	阴平 阳平	³² ⁵³	3141 3142	
1175	WesternXiangxi	HORN (ANATOMY)	horn (of cow)			q o ³⁵ + ɕ e ³⁵	HORN _horn	727	3141 3144	727	c e ¹	阴平 阴平	³⁵ ³⁵	3141 3144	
1176	NorthernQiandong	HORN (ANATOMY)	horn (of cow)			k i ³³	HORN	727	3141	727	k i ¹	阴平.*阴平	³³	3141	
1177	WesternBaheng	HORN (ANATOMY)	horn (of cow)			q a ŋ ³⁵ + ŋ̍ */ə ŋ ³³	HORN _horn	727	3141 3142	727	k ɔ̃ ¹	阴平 阳平	³⁵ ³³	3141 3142	
1178	EasternBaheng	HORN (ANATOMY)	horn (of cow)			q a ŋ ³⁵ + ŋ̍ */ə ŋ ³³	HORN _horn	727	3141 3142	727	k ɔ̃ ¹	阴平.*阴去.*阴入.*阳入 阳平.*阳平	³⁵ ³³	3141 3142	
1179	Jiongnai	HORN (ANATOMY)	horn (of cow)			ŋ j o ³³ + k j a ŋ ⁴⁴	_horn HORN	727	3142 3141	727	k j a ŋ ¹	阳平 阴平.*阴平	³³ ⁴⁴	3142 3141	
1180	Mien	HORN (ANATOMY)	horn (of cow)			ŋ u ŋ ³¹ + k oː ŋ ³³	_horn HORN	727	3142 3141	727	k ɔ ŋ ¹	阳平 阴平	³¹ ³³	3142 3141	
1181	KimMun	HORN (ANATOMY)	horn (of cow)			k j oː ŋ ³⁵	HORN	727	3141	727	k j ɔː ŋ ¹	阴平.阳平.阴入.阳入	³⁵	3141	
1182	BiaoMin	HORN (ANATOMY)	horn (of cow)			k l ɔ ³³	HORN	727	3141	727	k l ɔ ¹	阴平.*阴平	³³	3141	
1183	ZaoMin	HORN (ANATOMY)	horn (of cow)			k o ⁴⁴	HORN	727	3141	727	k ɔu ¹	阴平.阳上.阴入.*阴平	⁴⁴	3141	
59	WhiteHmong	TAIL	the tail			t ɯ ³³	TAIL	198	5821	198	t ɯ ⁵	阴去	³³	5821	
1196	EasternLuobuohe	TAIL	tail			ʔ a ⁰/² + t y ⁵⁵	_tail TAIL	198	5822 5821	198	t u ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	5822 5821	
1197	WesternLuobuohe	TAIL	tail			t ə ⁰/² + t u ⁵⁵	_tail TAIL	198	5824 5821	198	t u ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	5824 5821	
1198	SouthernGuizhouChuanqiandian	TAIL	tail			t əu ⁴²	TAIL	198	5821	198	t ou ³ᵃ/³	阴上.*阴上.*阳上	⁴²	5821	
1199	WesternXiangxi	TAIL	tail			p j i ⁴⁴ + t ə ⁴⁴	_tail TAIL	198	5825 5821	198	t ə ³	阴上.阴入.*阴平 阴上.阴入.*阴平	⁴⁴ ⁴⁴	5825 5821	
1200	NorthernQiandong	TAIL	tail			q a ³³ + t ɛ ³⁵	_tail TAIL	198	5823 5821	198	t ɛ ³	阴平.*阴平 阴上	³³ ³⁵	5823 5821	
1201	WesternBaheng	TAIL	tail			t ai ³¹	TAIL	198	5821	198	t ɛ ³	阴上	³¹	5821	
1202	EasternBaheng	TAIL	tail			t ei ³¹³	TAIL	198	5821	198	t ɛ ³	阴上.*阴上	³¹³	5821	
1203	Jiongnai	TAIL	tail			ð au ⁵³	TAIL	198	5821	198	ð au ³	阴上.*阴上.*阳上	⁵³	5821	
1204	Mien	TAIL	tail			t ui ⁵³	TAIL	198	5821	198	t w ei ³	阴上	⁵³	5821	
1205	KimMun	TAIL	tail			ˀt ei ⁵¹	TAIL	198	5821	198	t ei ³	阴上.阳上.*阴上.*阳上	⁵¹	5821	
1206	BiaoMin	TAIL	tail			k ɔ ⁴² + d ɔi ³⁵	_tail TAIL	198	5820 5821	198	d w ai ³	阳上.阳去 阴上	⁴² ³⁵	5820 5821	
1207	ZaoMin	TAIL	tail			d ui ²⁴	TAIL	198	5821	198	d u/w i ³	阴上.*阳平	²⁴	5821	
60	WhiteHmong	HEAD	the head			t au ⁵⁵ + h au ³³	_head HEAD	178	2978 2972	178	h au ³	阴平 阴去	⁵⁵ ³³	2978 4766	
785	EasternLuobuohe	HEAD	head			ʔ a ⁰/² + x u ⁵⁵	_head HEAD	92	2972 2974	178	h u ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	4766 2974	
786	WesternLuobuohe	HEAD	head			ʔ ə ⁰/² + x u ⁵⁵	_head HEAD	92	2972 2974	178	h u ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	4766 2974	
787	SouthernGuizhouChuanqiandian	HEAD	head			w ɔ ³⁵	HEAD	178	2976	178	w ɔ ⁵ᵇ/⁵	阴去	³⁵	2976	
788	WesternXiangxi	HEAD	head			k o ⁴⁴ + p ʐ ei ⁴⁴	HEAD _head	178	2974 2971	178	p ʐ ei ³	阴上.阴入.*阴平 阴上.阴入.*阴平	⁴⁴ ⁴⁴	2974 2971	
789	NorthernQiandong	HEAD	head			qʰ o ³³	HEAD	92	2974	178	fʰ u ³	阴平.*阴平	³³	2974	
790	WesternBaheng	HEAD	head			ʔ a ⁰/³ + t o ŋ ³³ + t i ³¹	_HEAD head _head	129	2972 2977 2978	178	pʱ i ³’/³	轻声 阳平 阴上	⁰/³ ³³ ³¹	4766 2977 2978	
791	EasternBaheng	HEAD	head			ʔ a ⁰/³ + ts ei ³¹³	_HEAD head	92	2972 2973	178	pʱ i ³’/³	轻声 阴上.*阴上	⁰/³ ³¹³	4766 2973	
792	Jiongnai	HEAD	head			ⁿk au ⁵³	HEAD	92	2974			阴上.*阴上.*阳上	⁵³	2974	
793	Mien	HEAD	head			ŋ̍ */ə ŋ ³¹ + g oː ŋ ⁵³	_head HEAD	92	2975 2974	178	p j e ³	阳平 阴上	³¹ ⁵³	2975 2974	
794	KimMun	HEAD	head			p j ei ³¹ + kʰ u ¹¹	_head HEAD	92	2971 2974	178	p j ei ³	阴上.阳上.阴去.阳去.*阳平 阴平.阳平.阴入.阳入	³¹ ¹¹	2971 2974	
795	BiaoMin	HEAD	head			p l i ³⁵	HEAD	178	2971	178	p l i ³	阴上	³⁵	2971	
796	ZaoMin	HEAD	head			p e ²⁴	HEAD	178	2971	178	p ɛi ³	阴上.*阳平	²⁴	2971	
61	WhiteHmong	FACE	the face			ⁿtʃ e ⁵³ + m u/w a ³¹	_face FACE	76	2059 2056			阳平 阳平.阳上.阳去	⁵³ ³¹	2059 2056	
833	EasternLuobuohe	FACE	face			ʔ a ⁰/² + m a ²⁴	_face FACE	76	2055 2056			轻声 阴去.阳去.*阴去.*阳去	⁰/² ²⁴	22 2056	
834	WesternLuobuohe	FACE	face			ʔ ə ⁰/² + m ɑ ³⁵	_face FACE	76	2055 2056			轻声 阴去.阳去.*阴去.*阳去	⁰/² ³⁵	22 2056	
835	SouthernGuizhouChuanqiandian	FACE	face			p ɯ ¹¹	FACE	34	2057	34	p ɯ ⁴	阳上	¹¹	2057	
836	WesternXiangxi	FACE	face			p ɑ ŋ ⁵³ + m e ⁴²	_face FACE	76	2058 2056			*阴上.*阳上 0	⁵³ ⁴²	2058 2056	
837	NorthernQiandong	FACE	face			m a ŋ ¹¹ + m ɛ ¹³	FACE _face	76	2054 2056			阳上 阴入.*阴去.*阳去	¹¹ ¹³	2054 2056	
838	WesternBaheng	FACE	face			ʔ a ⁰/³ + m o ŋ ¹¹	_face FACE	76	2055 2054			轻声 阳上	⁰/³ ¹¹	22 2054	
839	EasternBaheng	FACE	face			m u ŋ ¹¹	FACE	76	2054			阳上	¹¹	2054	
840	Jiongnai	FACE	face			m ɒ ¹¹	FACE	76	2056			阳去	¹¹	2056	
841	Mien	FACE	face			m̥ j e n ³³	FACE	76	2054	76	m j e n ¹	阴平	³³	2054	
842	KimMun	FACE	face			m j i n ¹¹	FACE	76	2054	76	m i n ¹’/¹	阴平.阳平.阴入.阳入	¹¹	2054	
843	BiaoMin	FACE	face			m̥ i n ³³	FACE	76	2054	76	m̥ i n ¹	阴平.*阴平	³³	2054	
844	ZaoMin	FACE	face			m e n ⁴⁴	FACE	76	2054	76	m ɛ n ¹	阴平.阳上.阴入.*阴平	⁴⁴	2054	
62	WhiteHmong	CHIN	the chin			p u/w a ⁵⁵ + tʃ ai ³¹	_chin CHIN	544	1034 1031	544	ʈʂ ai ⁸/²⁴	阴平 阳平.阳上.阳去	⁵⁵ ³¹	1034 1031	
857	EasternLuobuohe	CHIN	chin			q o ⁰/⁵ + z e ³³	_chin CHIN	544	1032 1029	544	z e ᴰ/⁴	轻声 阴入.阳入.*阴平	⁰/⁵ ³³	1032 1029	
858	WesternLuobuohe	CHIN	chin			ʔ ə ⁰/² + q e ³¹ + z e ⁵⁵	_chin _chin CHIN	544	1035 1032 1029	544	z e ᴰ/⁴	轻声 阴平.阳平.阴入.阳入.*阳平 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ³¹ ⁵⁵	638 1032 1029	
859	SouthernGuizhouChuanqiandian	CHIN	chin			tɕ i ²² + s e ³²	_chin CHIN	544	1031 1029	544	s e ⁸/²⁴	阴平 阴平	²² ³²	1031 1029	
860	WesternXiangxi	CHIN	chin			p ɑ ⁴⁴ + tɕ ɑ ²²	_chin CHIN	544	1034 1031	544	tɕ ɑ ⁸/²⁴	阴上.阴入.*阴平 0	⁴⁴ ²²	1034 1031	
861	NorthernQiandong	CHIN	chin			q a ³³ + q a ŋ ⁵⁵	CHIN _chin	544	1032 1030	544	ɕ i ¹	阴平.*阴平 0	³³ ⁵⁵	1032 1030	
862	WesternBaheng	CHIN	chin			ʔ a ⁰/³ + ŋ o ³³ + tɕ ei ⁴²	_chin _chin CHIN	544	1035 1028 1029			轻声 阳平 阳入	⁰/³ ³³ ⁴²	638 1028 1029	
863	EasternBaheng	CHIN	chin			ʑ u ŋ ³³ + tɕʰ i ³¹	_chin CHIN	544	1030 1031			阳平.*阳平 阳去.阳入	³³ ³¹	1030 1031	
864	Jiongnai	CHIN	chin			ŋ o ¹¹ + k au ⁵³	_chin CHIN	135	1028 1032			阳去 阴上.*阴上.*阳上	¹¹ ⁵³	1028 1032	
865	Mien	CHIN	chin			h a ³¹ + p a ³¹	chin _CHIN	135	1035 1034			阳平 阳平	³¹ ³¹	638 1034	
866	KimMun	CHIN	chin			k oː m ³³ + p a ³¹	chin _CHIN	135	1033 1034			阴平.阳平.*阴平 阴上.阳上.阴去.阳去.*阳平	³³ ³¹	1033 1034	
867	BiaoMin	CHIN	chin			ŋ a ³¹ + s ɛ ³³	_chin CHIN	544	1028 1029			阳平.*阳平 阴平.*阴平	³¹ ³³	1028 1029	
63	WhiteHmong	EYE	the eye			qʰ o ³⁴ + m u/w a ³¹	_eye EYE	81	2034 2028	81	m u/w a ⁶/¹³	阴上 阳平.阳上.阳去	³⁴ ³¹	2034 2028	
797	EasternLuobuohe	EYE	eye			ʔ a ⁰/² + m a ²⁴	_eye EYE	81	2031 2028	81	m a ᶜ/³	轻声 阴去.阳去.*阴去.*阳去	⁰/² ²⁴	2031 2028	
798	WesternLuobuohe	EYE	eye			t ə ⁰/² + qʰ o ŋ ⁵⁵ + m a ³⁵	_eye _eye EYE	81	2035 2034 2028	81	m a ᶜ/³	轻声 阴上.阳上.*阴平.*阴上.*阳上 阴去.阳去.*阴去.*阳去	⁰/² ⁵⁵ ³⁵	2035 2034 2028	
799	SouthernGuizhouChuanqiandian	EYE	eye			m o ŋ ¹³	EYE	81	2028	81	m o ŋ ⁶/¹³	阳去.阴入.*阴去.*阳去	¹³	2028	
800	WesternXiangxi	EYE	eye			l ə ⁴⁴ + q e ³⁵	_eye EYE	440	2030 2029	81	m e ⁶/¹³	阴上.阴入.*阴平 阴平	⁴⁴ ³⁵	2030 2029	
801	NorthernQiandong	EYE	eye			n̥ j u ³³ + m ɛ ¹³	_eye EYE	81	2033 2028	81	m ɛ ⁶/¹³	阴平.*阴平 阴入.*阴去.*阳去	³³ ¹³	2033 2028	
